entity_id,dt_url,pic_url,label_color,label_index,sku
151,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010100_Datablad Duplexvent BV400 90000660.pdf,green,A,359010100
152,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010085_Datablad Duplexvent DV72 90000556 Right.pdf,green,A,359010085
153,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359111100_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359111100_Energilabel_Energy ECO 180_0.jpg,green,A,359111100
154,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359104010_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359104010_Energilabel_0.jpg,green,A,359104010
155,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359105100_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359105100_Energilabel-GE-Energy-2_0.jpg,green,A,359105100
156,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359106110_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359106110_Energilabel_0.jpg,green,A,359106110
157,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Datablad-GE-Energy-3_359106100.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359106100_Energilabel_0.jpg,green,A,359106100
158,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359107411_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359107411_Energilabel_0.jpg,green,A,359107411
159,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/UNITE100 brochure HR100R.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/UNITE100 datablad hr100r.pdf,green,A,UNITE100
160,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/UNITS400B datablad_kinetic.pdf,darkgreen,AA,UNITS400B
161,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010085_Datablad Duplexvent DV72 90000556 Right_0.pdf,green,A,GENPAK1A
162,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010090_Datablad Duplexvent DV72 90000557 Left_0.pdf,green,A,GENPAK1AV
163,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010085_Datablad Duplexvent DV72 90000556 Right_1.pdf,green,A,GENPAK2A
164,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010090_Datablad Duplexvent DV72 90000557 Left_1.pdf,green,A,GENPAK2AV
165,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010085_Datablad Duplexvent DV72 90000556 Right_3.pdf,green,A,GENPAK3A
166,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010090_Datablad Duplexvent DV72 90000557 Left_2.pdf,green,A,GENPAK3AV
167,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010100_Datablad Duplexvent BV400 90000660_1.pdf,green,A,GENPAK4A
168,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010100_Datablad Duplexvent BV400 90000660_0.pdf,green,A,GENPAK5A
169,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/303131025_Atmos datablad_2.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/Atmos DC 18 DG Energimærke_303131018.jpg,green,AA,303131018
170,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/303131025_Atmos datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/Atmos DC 25 S Energimærke_303131025.jpg,green,AA,303131025
171,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/303131025_Atmos datablad_1.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/Atmos DC 32 S Energimærke_303131030.jpg,green,AA,303131030
172,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/303131025_Atmos datablad_3.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/Atmos DC 40 DG Energimærke_303131040_0.jpg,green,AA,303131040
173,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/303131025_Atmos datablad_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/303131050_Energimærke.jpg,green,AA,303131050
174,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/304006018_Datablad_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/304006018_Energimærke_18kw.PNG,green,AA,304006018
175,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/304006018_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/304006025_Energimærke_25kw.PNG,green,AA,304006025
176,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/304006018_Datablad_1.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/304006040_Energimærke_40kw.PNG,green,AA,304006040
177,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/304006018_Datablad_2.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/304006060_Energimærke_60kw.PNG,green,AA,304006060
178,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/304006018_Datablad_4.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/304006060_Energimærke_60kw_1.PNG,green,AA,304006096
179,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/304006018_Datablad_3.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/304006060_Energimærke_60kw_0.PNG,green,AA,304006130
180,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001025_datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001025_energimærke.jpg,lightgreen,A,792001025
181,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001160_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001160_Energimærke.jpg,darkgreen,AA,792001160
