import_file_id,import_id,store_id,filename,label,customer_groups,is_visible,include_in_order,product_ids,category_ids,product_skus,link
,,0,redtype2_datablad,redtype2_datablad,,1,,,,REDTYPE2,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/redtype2_datablad.pdf
,,0,redtype1_datablad,redtype1_datablad,,1,,,,REDTYPE1,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/redtype1_datablad.pdf
,,0,aqua-plus-quattro-teknisk-info,aqua-plus-quattro-teknisk-info,,1,,,,155052350,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/aqua-plus-quattro-teknisk-info.pdf
,,0,datablad_19019640_2020,datablad_19019640_2020,,1,,,,190196400,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-02/datablad_19019640_2020.pdf
,,0,dxm,dxm,,1,,,,223275260,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/dxm.pdf
,,0,ppbroendsystem,ppbroendsystem,,1,,,,195509605,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/ppbroendsystem.pdf
,,0,gabotherm_produktoversigt,gabotherm_produktoversigt,,1,,,,"087234648, 087217618, 334621042, 334621040, 087251618, 404772018, 404775018, 404790018, 334626002, 334626000, 334627002, 334627000, 334625000, 087234629, 087234618, 404794136, 404780018, 404784018, 334629002, 334629000, 334638000, 334639000, 334628002, 334628000, 045266006, 404792081, 404792115, 404792295, 087242618, 334624002, 334624000, 087245618, 087240648, 087241618, 087241648, 404792036, 404792038, 404792059, 404792076, 404792259, 404792281, 404792285",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/gabotherm_produktoversigt.pdf
,,0,188945050_datablad,188945050_datablad,,1,,,,188945050,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/188945050_datablad.pdf
,,0,153940110_tegning,153940110_tegning,,1,,,,153940110,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/153940110_tegning.pdf
,,0,unidrain_construction_corner_enkel,unidrain_construction_corner_enkel,,1,,,,"155036320, 155036020, 155035810",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2018-04/unidrain_construction_corner_enkel.pdf
